Date,;Region,;Trigger,;Weak Layer,Depth_inches,Vertical_inches,;Aspect,Elevation_feet,Coordinates
2009-12-14,Provo,Unknown,Facets,30,360.0,Northeast,8200.0,"40.368520000000, -111.593027000000"
2009-12-14,Salt Lake,Snowboarder,Facets,36,1800.0,North,9500.0,"0.000000000000, 0.000000000000"
2009-12-15,Salt Lake,Skier,Unknown,20,5400.0,North,10200.0,"40.599351000000, -111.640809000000"
2009-12-15,Uintas,Natural,Facets,30,1200.0,East,9600.0,"40.777714000000, -110.885739000000"
2009-12-15,Salt Lake,Unknown,Facets,42,1200.0,Northeast,9400.0,"0.000000000000, 0.000000000000"
2009-12-16,Salt Lake,Skier,Facets,36,4800.0,North,9600.0,"40.655769000000, -111.613326000000"
2009-12-17,Salt Lake,Skier,Facets,24,2400.0,Northeast,9500.0,"40.614604000000, -111.627488000000"
2009-12-18,Logan,Skier,Facets,24,3000.0,North,8800.0,"41.886843000000, -111.649435000000"
2009-12-18,Skyline,Natural,Unknown,24,4200.0,East,9900.0,"39.571076000000, -111.286096000000"
2009-12-20,Salt Lake,Skier,Facets,30,1800.0,North,10100.0,"40.599845000000, -111.643667000000"
2009-12-23,Skyline,Natural,Unknown,24,5400.0,Northeast,9400.0,"0.000000000000, 0.000000000000"
2009-12-24,Logan,Unknown,Facets,36,6000.0,Northeast,9500.0,"41.894930000000, -111.666069000000"
2009-12-26,Provo,Skier,Facets,24,6000.0,Southwest,9700.0,"40.493106000000, -111.716276000000"
2009-12-29,Provo,Skier,Surface Hoar,2,1200.0,Southeast,8000.0,"40.371103000000, -111.600022000000"
2009-12-30,Salt Lake,Skier,Unknown,8,4800.0,East,9800.0,"40.634571000000, -111.575861000000"
2010-01-01,Salt Lake,Skier,Unknown,18,4800.0,Northeast,9500.0,"40.672404000000, -111.626930000000"
2010-01-01,Logan,Skier,Facets,24,4435.5363866242,Southeast,21652.5865123995,"0.000000000000, 0.000000000000"
2010-01-02,Ogden,Skier,Unknown,12,3600.0,Northeast,8500.0,"40.974520000000, -111.822281000000"
2010-01-02,Salt Lake,Snowboarder,New Snow/Old Snow Interface,20,12000.0,Northeast,9500.0,"40.629490000000, -111.664267000000"
2010-01-02,Logan,Snowmobiler,Facets,18,1500.0,East,8700.0,"41.699384000000, -111.705594000000"
2010-01-02,Logan,Skier,Facets,10,21000.0,Northeast,8900.0,"41.211237000000, -111.880388000000"
2010-01-02,Ogden,Snowboarder,Facets,10,2400.0,Northeast,8000.0,"0.000000000000, 0.000000000000"
2010-01-03,Provo,Skier,Facets,24,3600.0,Northeast,10000.0,"0.000000000000, 0.000000000000"
2010-01-03,Provo,Skier,Facets,12,3600.0,East,9900.0,"0.000000000000, 0.000000000000"
2010-01-03,Logan,Snowmobiler,Facets,24,3000.0,North,8800.0,"41.960990000000, -111.651134000000"
2010-01-05,Salt Lake,Unknown,Facets,12,360.0,Northwest,9100.0,"0.000000000000, 0.000000000000"
2010-01-03,Logan,Skier,Facets,15,6000.0,North,8700.0,"41.886848000000, -111.646757000000"
